page,child,route,roles,line,control_type,control_label,handler_kind,parents,status
src/pages/dashboard/ReportsPage.tsx,,/dashboard/reports,ADMIN_ROLES,73,Button,"الإفصاح السنوي PDF",onClick,"DashboardLayout>PageHeaderCard",OK
src/pages/dashboard/ReportsPage.tsx,,/dashboard/reports,ADMIN_ROLES,77,Button,"توزيع الحصص PDF",onClick,"DashboardLayout>PageHeaderCard>FileText",OK
src/pages/dashboard/ReportsPage.tsx,,/dashboard/reports,ADMIN_ROLES,81,Button,"الفحص الجنائي PDF",onClick,"PageHeaderCard>FileText>Users",OK
src/pages/dashboard/SettingsPage.tsx,,/dashboard/settings,ADMIN_ONLY,66,Tab,"",tabs-radix,"SelectValue>TabsList",OK
src/pages/dashboard/SupportDashboardPage.tsx,,/dashboard/support,ADMIN_ROLES,50,Tab,"التذاكر",tabs-radix,"SupportStatsCards>Tabs>TabsList",OK
src/pages/dashboard/SupportDashboardPage.tsx,,/dashboard/support,ADMIN_ROLES,51,Tab,"الأخطاء",tabs-radix,"Tabs>TabsList>Headset",OK
src/pages/dashboard/SupportDashboardPage.tsx,,/dashboard/support,ADMIN_ROLES,52,Tab,"الإحصائيات",tabs-radix,"TabsList>Headset>Bug",OK
src/pages/dashboard/SupportDashboardPage.tsx,,/dashboard/support,ADMIN_ROLES,32,Button,"تذكرة جديدة",onClick,"DashboardLayout>PageHeaderCard",OK
src/pages/dashboard/SystemDiagnosticsPage.tsx,,/dashboard/diagnostics,ADMIN_ONLY,70,Button,"تصدير",onClick,"",OK
src/pages/dashboard/SystemDiagnosticsPage.tsx,,/dashboard/diagnostics,ADMIN_ONLY,75,Button,"",onClick,"Download",OK
src/pages/dashboard/SystemDiagnosticsPage.tsx,,/dashboard/diagnostics,ADMIN_ONLY,102,Button,"",onClick,"WebVitalsPanel>Card>CardHeader",OK
src/pages/dashboard/ZatcaManagementPage.tsx,,/dashboard/zatca,ADMIN_ONLY,72,Tab,"الفواتير",tabs-radix,"ZatcaHealthPanel>Tabs>TabsList",OK
src/pages/dashboard/ZatcaManagementPage.tsx,,/dashboard/zatca,ADMIN_ONLY,73,Tab,"الشهادات",tabs-radix,"Tabs>TabsList>FileText",OK
src/pages/dashboard/ZatcaManagementPage.tsx,,/dashboard/zatca,ADMIN_ONLY,74,Tab,"سلسلة التوقيع",tabs-radix,"TabsList>FileText>ShieldCheck",OK
src/pages/beneficiary/AccountsViewPage.tsx,,/beneficiary/accounts,ALL_NON_ACCOUNTANT,31,Button,"إعادة المحاولة",onClick,"DashboardLayout>DashboardSkeleton>AlertCircle",OK
src/pages/beneficiary/AccountsViewPage.tsx,,/beneficiary/accounts,ALL_NON_ACCOUNTANT,49,Button,"إعادة تحميل",onClick,"RefreshCw>UnlinkedAccountNotice>AlertCircle",OK
src/pages/beneficiary/AccountsViewPage.tsx,,/beneficiary/accounts,ALL_NON_ACCOUNTANT,97,Button,"الإفصاح السنوي",onClick,"AccountsViewMyShare>Card>CardContent",OK
src/pages/beneficiary/AnnualReportViewPage.tsx,,/beneficiary/annual-report,ALL_NON_ACCOUNTANT,113,Tab,"حالة العقارات",tabs-radix,"IncomeComparisonChart>Tabs>TabsList",OK
src/pages/beneficiary/AnnualReportViewPage.tsx,,/beneficiary/annual-report,ALL_NON_ACCOUNTANT,116,Tab,"الإنجازات",tabs-radix,"Tabs>TabsList>Building2",OK
src/pages/beneficiary/AnnualReportViewPage.tsx,,/beneficiary/annual-report,ALL_NON_ACCOUNTANT,119,Tab,"التحديات",tabs-radix,"TabsList>Building2>Trophy",OK
src/pages/beneficiary/AnnualReportViewPage.tsx,,/beneficiary/annual-report,ALL_NON_ACCOUNTANT,122,Tab,"الخطط المستقبلية",tabs-radix,"Building2>Trophy>AlertTriangle",OK
src/pages/beneficiary/AnnualReportViewPage.tsx,,/beneficiary/annual-report,ALL_NON_ACCOUNTANT,66,Button,"PDF",onClick,"PageHeaderCard>Info>PageHeaderCard",OK
