path,layer,loc,imports,exports,is_barrel,has_supabase,has_toast,has_console,has_default_export
components/beneficiaries/admin/BeneficiaryFormDialog.tsx,component,109,10,2,false,false,false,false,true
components/beneficiaries/admin/DistributionHistory.tsx,component,111,9,1,false,false,false,false,true
components/beneficiaries/admin/index.ts,component,8,0,4,false,false,false,false,false
components/beneficiary/UnlinkedAccountNotice.tsx,component,32,3,1,false,false,false,false,true
components/beneficiary/carryforward/CarryforwardSummaryCards.tsx,component,68,3,1,false,false,false,false,true
components/beneficiary/carryforward/CarryforwardsRecordTable.tsx,component,113,6,1,false,false,false,false,true
components/beneficiary/carryforward/PaidAdvancesTable.tsx,component,92,5,1,false,false,false,false,true
components/beneficiary/carryforward/index.ts,component,7,0,3,true,false,false,false,false
components/beneficiary/dashboard/BeneficiaryAdvanceCard.tsx,component,92,5,1,false,false,false,false,true
components/beneficiary/dashboard/BeneficiaryNotificationsCard.tsx,component,76,7,1,false,false,false,false,true
components/beneficiary/dashboard/BeneficiaryQuickLinks.tsx,component,48,4,1,false,false,false,false,true
components/beneficiary/dashboard/BeneficiaryRecentDistributions.tsx,component,50,4,1,false,false,false,false,true
components/beneficiary/dashboard/BeneficiaryStatsRow.tsx,component,114,6,1,false,false,false,false,true
components/beneficiary/dashboard/BeneficiaryWelcomeCard.tsx,component,44,3,1,false,false,false,false,true
components/beneficiary/disclosure/DisclosureContractsSection.tsx,component,111,7,1,false,false,false,false,true
components/beneficiary/disclosure/DisclosureExpensesBlock.tsx,component,38,1,1,false,false,false,false,true
components/beneficiary/disclosure/DisclosureFinancialStatement.tsx,component,80,6,1,false,false,false,false,true
components/beneficiary/disclosure/DisclosureIncomeBlock.tsx,component,30,1,1,false,false,false,false,true
components/beneficiary/disclosure/DisclosureMyShareCard.tsx,component,44,1,1,false,false,false,false,true
components/beneficiary/disclosure/DisclosureSummaryCards.tsx,component,121,5,1,false,false,false,false,true
components/beneficiary/disclosure/DisclosureWaterfallBlock.tsx,component,83,1,1,false,false,false,false,true
components/beneficiary/my-share/AdvanceRequestDialog.tsx,component,187,11,1,false,false,false,false,true
components/beneficiary/my-share/AdvancesTable.tsx,component,115,5,1,false,false,false,false,true
components/beneficiary/my-share/CarryforwardsTable.tsx,component,92,5,1,false,false,false,false,true
components/beneficiary/my-share/DeductionsExplanationCard.tsx,component,51,3,1,false,false,false,false,true
components/beneficiary/my-share/DistributionsTable.tsx,component,99,5,1,false,false,false,false,true
components/beneficiary/my-share/MyShareSummaryCards.tsx,component,112,5,1,false,false,false,false,true
components/beneficiary/properties/BeneficiaryPropertyCard.tsx,component,131,6,1,false,false,false,false,true
components/bylaws/BylawAddDialog.tsx,component,89,5,2,false,false,false,false,false
components/bylaws/BylawDeleteDialog.tsx,component,29,2,1,false,false,false,false,false
components/bylaws/BylawDialogs.tsx,component,7,0,3,false,false,false,false,false
components/bylaws/BylawEditDialog.tsx,component,76,6,1,false,false,false,false,false
components/bylaws/BylawsStatsCards.tsx,component,67,3,1,false,false,false,false,true
components/bylaws/SortableBylawItem.tsx,component,113,9,1,false,false,false,false,true
